'Day fraction since midnight on' 	'photometer (mg/L)'	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.592916657	2.749282599	113781.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592928236	2.748471737	113781.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592939798	2.750520229	113781.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59295138	2.747075319	113781.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592962945	2.746681213	113781.625	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592974535	2.745381355	113791.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592986095	2.746980906	113791.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.592997685	2.746152878	113791.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593009256	2.747853041	113791.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593020812	2.746251106	113791.9219	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59303239	2.746072531	113757.7578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593043961	2.744686842	113757.7578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593055533	2.745458841	113757.7578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593067127	2.744381905	113757.7578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593078686	2.745576382	113757.7578	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593090279	2.744820356	113773.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593101834	2.744532824	113773.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593113404	2.743388176	113773.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593124983	2.744431973	113773.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593136549	2.744540453	113773.6563	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593148131	2.745771885	113777.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593159697	2.745107174	113777.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593171278	2.74565649	113777.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59318286	2.745107174	113777.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593194423	2.745768547	113777.6484	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593206002	2.746444464	113758.6875	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593217568	2.746387482	113758.6875	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.59322914	2.745422363	113758.6875	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593240721	2.745391607	113758.6875	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593252307	2.745098114	113758.6875	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593263933	2.744973421	113764.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593275439	2.744846344	113764.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.593287001	2.744956493	113764.4063	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
