Day fraction since midnight on 	photometer (mg/L)	Source pressure (Pa)	air valve control ()	Max calibration pressure (Pa)	source pressure (Pa)	Max calibration pressure ()	Delta P ()	air flow rate(R * T )/ V ()	Fill time (s)	air fill model (Pa)
0.488107404	14.8938036	113540.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48811898	15.50811291	113540.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488130561	15.94140339	113540.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488142124	16.46517944	113540.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488153698	16.9356823	113540.5469	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.48816528	17.54303932	113551.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488176852	17.87721634	113551.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488188425	18.57057762	113551.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488200002	19.16374588	113551.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488211567	19.69312477	113551.3594	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488223146	20.08096313	113559.7344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488234709	20.61590958	113559.7344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488246286	21.12386703	113559.7344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488257865	21.63399696	113559.7344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488269433	22.04584312	113559.7344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488281014	22.60347557	113551.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488292595	23.05938911	113551.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488304168	23.56239319	113551.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488315728	24.04572487	113551.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488327301	24.54187202	113551.5547	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488338891	24.84886932	113565.2344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488350458	25.35769653	113565.2344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488362034	25.81884575	113565.2344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488373595	26.2947464	113565.2344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488385166	26.68136215	113565.2344	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488396756	27.12351608	113574.1094	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488408331	27.42938995	113574.1094	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488419887	27.90139389	113574.1094	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488431476	28.28733444	113574.1094	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488443042	28.74846458	113574.1094	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488454617	29.10478973	113582.1172	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488466195	29.59089088	113582.1172	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488477756	29.97195053	113582.1172	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488489452	30.38782501	113582.1172	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488500917	30.70055771	113582.1172	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488512487	31.15312195	113591.8125	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488524051	31.48795509	113591.8125	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488535622	31.92484283	113591.8125	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488547217	32.25416946	113591.8125	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488558782	32.58876801	113591.8125	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488570354	32.91274643	113592.2891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488581918	33.24251938	113592.2891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488593493	33.44537735	113592.2891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488605074	33.7936821	113592.2891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488616756	34.10866928	113592.2891	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488628224	34.40832901	113587.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488639791	34.71611786	113587.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
0.488651472	35.01040268	113587.9688	NaN	0	0	0	-5000	2147.25	-2.328559786	5000
